user_id,cluster,cluster_name
624,1,活动互动/沉睡/回流/高活跃
625,1,活动互动/沉睡/回流/高活跃
626,0,活动互动
627,1,活动互动/沉睡/回流/高活跃
628,1,活动互动/沉睡/回流/高活跃
629,1,活动互动/沉睡/回流/高活跃
630,1,活动互动/沉睡/回流/高活跃
631,1,活动互动/沉睡/回流/高活跃
632,1,活动互动/沉睡/回流/高活跃
633,1,活动互动/沉睡/回流/高活跃
634,0,活动互动
635,1,活动互动/沉睡/回流/高活跃
636,1,活动互动/沉睡/回流/高活跃
637,1,活动互动/沉睡/回流/高活跃
638,0,活动互动
639,0,活动互动
640,0,活动互动
641,1,活动互动/沉睡/回流/高活跃
642,1,活动互动/沉睡/回流/高活跃
643,1,活动互动/沉睡/回流/高活跃
644,0,活动互动
645,1,活动互动/沉睡/回流/高活跃
646,1,活动互动/沉睡/回流/高活跃
647,0,活动互动
648,0,活动互动
649,0,活动互动
650,1,活动互动/沉睡/回流/高活跃
651,0,活动互动
652,1,活动互动/沉睡/回流/高活跃
653,0,活动互动
654,1,活动互动/沉睡/回流/高活跃
655,1,活动互动/沉睡/回流/高活跃
656,0,活动互动
657,1,活动互动/沉睡/回流/高活跃
658,1,活动互动/沉睡/回流/高活跃
659,1,活动互动/沉睡/回流/高活跃
660,0,活动互动
661,1,活动互动/沉睡/回流/高活跃
662,1,活动互动/沉睡/回流/高活跃
663,1,活动互动/沉睡/回流/高活跃
664,1,活动互动/沉睡/回流/高活跃
665,0,活动互动
666,1,活动互动/沉睡/回流/高活跃
667,0,活动互动
668,1,活动互动/沉睡/回流/高活跃
669,1,活动互动/沉睡/回流/高活跃
670,1,活动互动/沉睡/回流/高活跃
671,0,活动互动
672,0,活动互动
673,0,活动互动
674,1,活动互动/沉睡/回流/高活跃
675,1,活动互动/沉睡/回流/高活跃
676,1,活动互动/沉睡/回流/高活跃
677,1,活动互动/沉睡/回流/高活跃
678,1,活动互动/沉睡/回流/高活跃
679,1,活动互动/沉睡/回流/高活跃
680,0,活动互动
681,1,活动互动/沉睡/回流/高活跃
682,0,活动互动
683,1,活动互动/沉睡/回流/高活跃
684,1,活动互动/沉睡/回流/高活跃
685,1,活动互动/沉睡/回流/高活跃
686,0,活动互动
687,1,活动互动/沉睡/回流/高活跃
688,0,活动互动
689,0,活动互动
690,1,活动互动/沉睡/回流/高活跃
691,1,活动互动/沉睡/回流/高活跃
692,1,活动互动/沉睡/回流/高活跃
693,0,活动互动
694,0,活动互动
695,0,活动互动
696,1,活动互动/沉睡/回流/高活跃
697,1,活动互动/沉睡/回流/高活跃
698,0,活动互动
699,0,活动互动
700,1,活动互动/沉睡/回流/高活跃
701,0,活动互动
702,0,活动互动
703,0,活动互动
704,1,活动互动/沉睡/回流/高活跃
705,1,活动互动/沉睡/回流/高活跃
706,0,活动互动
707,1,活动互动/沉睡/回流/高活跃
708,0,活动互动
709,0,活动互动
710,1,活动互动/沉睡/回流/高活跃
711,1,活动互动/沉睡/回流/高活跃
712,0,活动互动
713,1,活动互动/沉睡/回流/高活跃
714,0,活动互动
715,1,活动互动/沉睡/回流/高活跃
716,1,活动互动/沉睡/回流/高活跃
717,1,活动互动/沉睡/回流/高活跃
718,1,活动互动/沉睡/回流/高活跃
719,0,活动互动
720,0,活动互动
721,1,活动互动/沉睡/回流/高活跃
722,1,活动互动/沉睡/回流/高活跃
723,1,活动互动/沉睡/回流/高活跃
724,0,活动互动
725,1,活动互动/沉睡/回流/高活跃
726,1,活动互动/沉睡/回流/高活跃
727,1,活动互动/沉睡/回流/高活跃
728,1,活动互动/沉睡/回流/高活跃
